Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778103250,10,POST,POST /research,7.800000,0.000000,9,10,12,12,14,17,22,32,32,32,32,128,0,9,11.23705122518004,4.528816789388657,59.596071019768715,120.0
1778103250,10,,Aggregated,17.200000,0.000000,14,16,19,20,210,300,390,450,470,470,470,285,0,14,38.810931713107905,4.528816789388657,474.0612995810807,506.6736842105263
1778103251,10,GET,GET /health,1.600000,0.000000,310,390,400,420,450,470,470,470,470,470,470,30,0,260,231.8148484143118,36.47251008078456,474.0612995810807,60.0
1778103251,10,GET,GET /runs/{id},7.400000,0.000000,16,18,19,19,23,29,32,33,33,33,33,137,0,16,23.875823784891487,7.7513959258794785,214.14908301085234,996.9124087591241
1778103251,10,POST,POST /research,7.400000,0.000000,9,10,11,12,14,17,19,32,32,32,32,137,0,9,11.178712156621645,4.528816789388657,59.596071019768715,120.0
1778103251,10,,Aggregated,16.400000,0.000000,13,16,18,19,32,310,400,450,470,470,470,304,0,14,38.6740686724232,4.528816789388657,474.0612995810807,509.26644736842104
1778103252,10,GET,GET /health,1.700000,0.000000,390,400,420,420,450,470,470,470,470,470,470,31,0,260,237.29577175371588,36.47251008078456,474.0612995810807,60.0
1778103252,10,GET,GET /runs/{id},7.400000,0.000000,16,18,19,19,23,26,31,33,33,33,33,145,0,16,23.347930494567443,7.7513959258794785,214.14908301085234,1003.255172413793
1778103252,10,POST,POST /research,7.400000,0.000000,8,10,11,12,14,17,17,19,19,19,19,145,0,9,10.98120516679924,4.528816789388657,59.596071019768715,120.0
1778103252,10,,Aggregated,16.500000,0.000000,13,16,18,19,26,310,400,450,470,470,470,321,0,13,38.423344533530724,4.528816789388657,474.0612995810807,513.183800623053
1778103253,10,GET,GET /health,1.600000,0.000000,390,400,420,420,450,470,470,470,470,470,470,31,0,260,237.29577175371588,36.47251008078456,474.0612995810807,60.0
1778103253,10,GET,GET /runs/{id},7.600000,0.000000,17,19,21,23,31,47,58,76,76,76,76,153,0,16,24.429651841618657,7.7513959258794785,214.14908301085234,1005.0522875816994
1778103253,10,POST,POST /research,7.600000,0.000000,9,11,12,13,17,21,35,49,49,49,49,153,0,9,11.55488142208044,4.528816789388657,59.596071019768715,120.0
1778103253,10,,Aggregated,16.800000,0.000000,14,17,19,22,47,310,400,450,470,470,470,337,0,14,38.16558609409838,4.528816789388657,474.0612995810807,516.299703264095
1778103254,10,GET,GET /health,1.500000,0.000000,400,400,450,450,470,1100,1100,1100,1100,1100,1100,32,0,260,263.8383550802246,36.47251008078456,1086.6584382019937,60.0
1778103254,10,GET,GET /runs/{id},7.700000,0.000000,17,19,22,24,31,47,58,76,76,76,76,163,0,16,23.97280009863384,7.7513959258794785,214.14908301085234,1011.760736196319
1778103254,10,POST,POST /research,7.700000,0.000000,9,11,12,13,17,21,35,49,49,49,49,163,0,9,11.399833074102373,4.528816789388657,59.596071019768715,120.0
1778103254,10,,Aggregated,16.900000,0.000000,14,17,19,22,47,310,420,470,1100,1100,1100,358,0,14,39.688733434980975,4.528816789388657,1086.6584382019937,520.6620111731844
1778103255,10,GET,GET /health,1.200000,0.000000,400,450,470,520,630,1100,1100,1100,1100,1100,1100,34,0,270,282.2454663349644,36.47251008078456,1086.6584382019937,60.0
1778103255,10,GET,GET /runs/{id},7.900000,0.000000,17,19,22,24,31,47,58,76,76,76,76,167,0,16,23.706689292933056,7.7513959258794785,214.14908301085234,1011.251497005988
1778103255,10,POST,POST /research,7.900000,0.000000,9,11,12,13,17,21,35,49,49,49,49,167,0,9,11.309201712022999,4.528816789388657,59.596071019768715,120.0
1778103255,10,,Aggregated,17.000000,0.000000,13,17,19,22,35,400,470,630,1100,1100,1100,368,0,13,41.967390362001225,4.528816789388657,1086.6584382019937,518.9103260869565
1778103256,10,GET,GET /health,1.200000,0.000000,520,850,1100,1100,1100,1100,1100,1100,1100,1100,1100,38,0,290,363.9176031084437,36.47251008078456,1130.7195140980184,60.0
1778103256,10,GET,GET /runs/{id},7.800000,0.000000,18,19,22,25,32,47,58,76,76,76,76,172,0,16,23.75889631789611,7.7513959258794785,214.14908301085234,1010.4476744186046
1778103256,10,POST,POST /research,7.800000,0.000000,9,11,12,13,18,21,35,49,49,49,49,172,0,9,11.417117486924452,4.528816789388657,59.596071019768715,120.0
1778103256,10,,Aggregated,16.800000,0.000000,14,18,21,25,58,470,1100,1100,1100,1100,1100,382,0,14,52.03964212709423,4.528816789388657,1130.7195140980184,514.9659685863875
1778103257,10,GET,GET /health,1.300000,0.000000,630,940,1100,1100,1100,1100,1100,1100,1100,1100,1100,39,0,290,378.79991435851804,36.47251008078456,1130.7195140980184,60.0
1778103257,10,GET,GET /runs/{id},7.700000,0.000000,18,20,24,25,32,47,58,76,76,76,76,175,0,16,23.548230938613415,7.7513959258794785,214.14908301085234,1011.4857142857143
1778103257,10,POST,POST /research,7.700000,0.000000,9,11,12,13,18,21,35,49,49,49,49,175,0,9,11.338465000901904,4.319218918681145,59.596071019768715,120.0
1778103257,10,,Aggregated,16.700000,0.000000,14,18,22,26,390,630,1100,1100,1100,1100,1100,389,0,14,53.671898327499704,4.319218918681145,1130.7195140980184,515.0385604113111
1778103258,10,GET,GET /health,1.100000,0.000000,660,850,1100,1100,1100,1100,1100,1100,1100,1100,1100,41,0,300,393.4143584153456,36.47251008078456,1130.7195140980184,60.0
1778103258,10,GET,GET /runs/{id},7.500000,0.000000,18,21,25,28,33,47,58,76,76,76,76,185,0,16,23.52993287448142,7.7513959258794785,214.14908301085234,1020.3567567567568
1778103258,10,POST,POST /research,7.500000,0.000000,9,11,12,12,18,21,35,49,49,49,49,185,0,9,11.24185303075088,4.319218918681145,59.596071019768715,120.0
1778103258,10,,Aggregated,16.100000,0.000000,14,19,24,28,390,660,1100,1100,1100,1100,1100,411,0,14,54.89724838807091,4.319218918681145,1130.7195140980184,519.2846715328467
